account_global_legal_name,display_name,industry,cities,centres,leaders,existing_slug,surfaced_by
"AOL Inc.","AOL Inc.","Hi-Tech","Bengaluru",2,2,"","industry: Hi-Tech"
"Aon plc","Aon plc","BFSI","Bengaluru; Chennai; Gurugram; Mumbai; Noida",6,54,"","industry: BFSI"
"Apex Technology Systems, Inc.","Apex Technology Systems, Inc.","IT Service","Hyderabad",1,2,"","industry: IT Service"
"Apolis Inc.","Apolis Inc.","IT Service","Chennai; Gurugram; Noida; Thiruvananthapuram",4,10,"","industry: IT Service"
"Apollo Global Management Inc.","Apollo Global Management Inc.","BFSI","Mumbai",1,31,"","industry: BFSI"
"Apotex Inc.","Apotex Inc.","Healthcare Life Sciences & Pharma","Bengaluru; Mumbai",2,38,"","industry: Healthcare Life Sciences & Pharma"
"Apple Inc.","Apple Inc.","Hi-Tech","Bengaluru; Chennai; Hosur; Hyderabad",5,22,"","industry: Hi-Tech"
"Applied Materials, Inc.","Applied Materials, Inc.","Hi-Tech","Bengaluru; Chennai; Mumbai",6,52,"","industry: Hi-Tech"
"Applied Research Works. Inc.","Applied Research Works. Inc.","Professional Services","Kolkata",1,3,"","industry: Professional Services"
"Aptean, Inc.","Aptean, Inc.","Hi-Tech","Bengaluru; Madurai",2,10,"","industry: Hi-Tech"
"Aptiv plc","Aptiv plc","Automotive","Chennai; Pune; Bengaluru; Kochi; Rewari",7,25,"","industry: Automotive"
"Apttus Corp.","Apttus Corp.","Software & SaaS","Ahmedabad; Bengaluru; Chennai; Pune",4,5,"","city: Ahmedabad"
"AQR Capital Management, LLC","AQR Capital Management, LLC","BFSI","Bengaluru",1,14,"","industry: BFSI"
"Aramex PJSC","Aramex PJSC","Travel, Transport, Logistics & Hospitality","Ahmedabad; Pune",2,12,"","city: Ahmedabad"
"Arasan Chip Systems, Inc.","Arasan Chip Systems, Inc.","Hi-Tech","Bengaluru; Thoothukudi",3,2,"","industry: Hi-Tech"
"Arch Capital Group Ltd.","Arch Capital Group Ltd.","BFSI","Hyderabad; Pune; Thiruvananthapuram",3,2,"","industry: BFSI"
"Arctic Wolf Networks, Inc.","Arctic Wolf Networks, Inc.","Telecom","Bengaluru; Noida",3,12,"","industry: Telecom"
"Arista Networks, Inc.","Arista Networks, Inc.","Hi-Tech","Bengaluru; Pune",2,18,"","industry: Hi-Tech"
"Aristocrat Leisure Ltd.","Aristocrat Leisure Ltd.","Recreation & Entertainment","Noida",1,11,"","city: Noida"
"Arm Holdings plc","Arm Holdings plc","Hi-Tech","Bengaluru; Noida",3,28,"","industry: Hi-Tech"
